VP-Nummer;UV Priming;AV IQ
1;Bloed;99,2
3;Bloed;95,8
5;Bloed;95,9
7;Bloed;81,6
9;Bloed;94,5
11;Bloed;90,5
13;Bloed;104,4
15;Bloed;79,4
17;Bloed;87
19;Bloed;117,3
21;Bloed;110,3
23;Bloed;105,8
25;Bloed;49,6
27;Bloed;98,5
29;Bloed;97,7
31;Bloed;83,5
33;Bloed;84,9
35;Bloed;97,1
37;Bloed;71,8
39;Bloed;102,6
41;Bloed;83,2
43;Bloed;84,9
45;Bloed;105,9
47;Bloed;86,9
49;Bloed;121
51;Bloed;74,8
53;Bloed;102,6
55;Bloed;76,9
57;Bloed;109,6
59;Bloed;77
2;Intelligent;98,3
4;Intelligent;112,6
6;Intelligent;119,3
8;Intelligent;95,1
10;Intelligent;84,3
12;Intelligent;104,5
14;Intelligent;93,3
16;Intelligent;113,8
18;Intelligent;117
20;Intelligent;113,2
22;Intelligent;93
24;Intelligent;97
26;Intelligent;94,6
28;Intelligent;80,1
30;Intelligent;115,4
32;Intelligent;122,1
34;Intelligent;103,8
36;Intelligent;71,2
38;Intelligent;97,7
40;Intelligent;144,3
42;Intelligent;98,2
44;Intelligent;88,3
46;Intelligent;115,2
48;Intelligent;98,1
50;Intelligent;102,8
52;Intelligent;121,1
54;Intelligent;112,8
56;Intelligent;112,1
58;Intelligent;108,8
60;Intelligent;81,3
