UV;AV_Konzentrationsleistung
kaffee;51
kaffee;38
kaffee;58
kaffee;33
kaffee;50
kaffee;51
kaffee;52
kaffee;43
kaffee;55
kaffee;57
kaffee;49
kaffee;45
kaffee;35
kaffee;65
kaffee;47
kaffee;52
kaffee;53
kaffee;48
kaffee;57
kaffee;52
kein.kaffee;58
kein.kaffee;43
kein.kaffee;30
kein.kaffee;28
kein.kaffee;36
kein.kaffee;47
kein.kaffee;21
kein.kaffee;33
kein.kaffee;3
kein.kaffee;29
kein.kaffee;38
kein.kaffee;37
kein.kaffee;23
kein.kaffee;51
kein.kaffee;31
kein.kaffee;41
kein.kaffee;11
kein.kaffee;12
kein.kaffee;32
kein.kaffee;32
